source,target,year
1. Putting “Same-Sex” into the Narrative: A Discussion of Long Before,Thomas A. Foster,2008
1. Putting “Same-Sex” into the Narrative: A Discussion of Long Before,Clare A. Lyons,2008
1. Putting “Same-Sex” into the Narrative: A Discussion of Long Before,John Daniel Salliant ,2008
1. Putting “Same-Sex” into the Narrative: A Discussion of Long Before,Anne G. Myles,2008
1. Putting “Same-Sex” into the Narrative: A Discussion of Long Before,Rachel H. Cleves,2008
10. African American Ideology and Political Culture in the Urban North,Erik R. Seeman,2008
10. African American Ideology and Political Culture in the Urban North,Erica L. Ball,2008
10. African American Ideology and Political Culture in the Urban North,Richard S. Newman,2008
10. African American Ideology and Political Culture in the Urban North,Elsa Barkley Brown,2008
11. Beyond Portraits of Dead White Men: Art History as Social History,April F. Masten,2008
11. Beyond Portraits of Dead White Men: Art History as Social History,Vivien Green Fryd ,2008
12. Jefferson,Herbert Sloan ,2008
12. Jefferson,James McClure ,2008
12. Jefferson,Elaine Pascu ,2008
12. Jefferson,Andrew Burstein,2008
13. Patricide and American Public Opinion about the French Revolution,Robert J. Imholt,2008
13. Patricide and American Public Opinion about the French Revolution,Christopher J. Young,2008
13. Patricide and American Public Opinion about the French Revolution,Seth Cotlar,2008
14. Power Contests and Multinational Interactions in the Lower South,Vanessa Mongey ,2008
14. Power Contests and Multinational Interactions in the Lower South,Natalie Inman ,2008
14. Power Contests and Multinational Interactions in the Lower South,Convergence in Florida ,2008
14. Power Contests and Multinational Interactions in the Lower South,Andrew Frank ,2008
14. Power Contests and Multinational Interactions in the Lower South,Nancy Shoemaker,2008
15. Sectarian Violence in Burned-Over America: Contested Meanings,Rodney Hessinger ,2008
15. Sectarian Violence in Burned-Over America: Contested Meanings,Margaret Sumner ,2008
15. Sectarian Violence in Burned-Over America: Contested Meanings,Religious Violence ,2008
15. Sectarian Violence in Burned-Over America: Contested Meanings,Keith Beutler ,2008
15. Sectarian Violence in Burned-Over America: Contested Meanings,Chris Beneke,2008
16. The Private and Public Meaning of Sentiment and Seduction,Helen Scheumaker ,2008
16. The Private and Public Meaning of Sentiment and Seduction,John P. Resch,2008
16. The Private and Public Meaning of Sentiment and Seduction,Bryan Waterman ,2008
16. The Private and Public Meaning of Sentiment and Seduction,Konstantin Dierks,2008
