,congregation,year,modularity,count
0,shear,1981.0,0,0
1,shear,1981.0,2,0
2,shear,1981.0,3,5
3,shear,1981.0,5,0
4,shear,1981.0,6,0
5,shear,1981.0,11,11
6,shear,1981.0,14,0
7,shear,1981.0,15,0
8,shear,1981.0,16,0
9,shear,1981.0,17,0
10,shear,1981.0,19,0
11,shear,1981.0,20,0
12,shear,1981.0,21,0
13,shear,1981.0,23,12
14,shear,1981.0,24,0
15,shear,1981.0,26,0
16,shear,1981.0,27,8
17,shear,1981.0,30,0
18,shear,1981.0,31,0
19,shear,1981.0,32,0
20,shear,1981.0,33,0
21,shear,1981.0,34,0
22,shear,1981.0,35,0
23,shear,1981.0,36,0
24,shear,1981.0,45,0
25,shear,1981.0,48,0
26,shear,1981.0,55,0
27,shear,1981.0,59,5
28,shear,1981.0,61,0
29,shear,1982.0,0,0
30,shear,1982.0,2,0
31,shear,1982.0,3,5
32,shear,1982.0,5,0
33,shear,1982.0,6,0
34,shear,1982.0,11,11
35,shear,1982.0,14,0
36,shear,1982.0,15,0
37,shear,1982.0,16,0
38,shear,1982.0,17,0
39,shear,1982.0,19,0
40,shear,1982.0,20,0
41,shear,1982.0,21,0
42,shear,1982.0,23,12
43,shear,1982.0,24,0
44,shear,1982.0,26,0
45,shear,1982.0,27,8
46,shear,1982.0,30,0
47,shear,1982.0,31,0
48,shear,1982.0,32,0
49,shear,1982.0,33,0
50,shear,1982.0,34,0
51,shear,1982.0,35,0
52,shear,1982.0,36,0
53,shear,1982.0,45,0
54,shear,1982.0,48,0
55,shear,1982.0,55,0
56,shear,1982.0,59,5
57,shear,1982.0,61,0
58,shear,1983.0,0,0
59,shear,1983.0,2,5
60,shear,1983.0,3,5
61,shear,1983.0,5,0
62,shear,1983.0,6,0
63,shear,1983.0,11,12
64,shear,1983.0,14,0
65,shear,1983.0,15,0
66,shear,1983.0,16,0
67,shear,1983.0,17,0
68,shear,1983.0,19,0
69,shear,1983.0,20,5
70,shear,1983.0,21,2
71,shear,1983.0,23,25
72,shear,1983.0,24,1
73,shear,1983.0,26,4
74,shear,1983.0,27,14
75,shear,1983.0,30,0
76,shear,1983.0,31,0
77,shear,1983.0,32,0
78,shear,1983.0,33,0
79,shear,1983.0,34,0
80,shear,1983.0,35,0
81,shear,1983.0,36,0
82,shear,1983.0,45,0
83,shear,1983.0,48,0
84,shear,1983.0,55,0
85,shear,1983.0,59,5
86,shear,1983.0,61,0
87,shear,1984.0,0,0
88,shear,1984.0,2,5
89,shear,1984.0,3,9
90,shear,1984.0,5,0
91,shear,1984.0,6,0
92,shear,1984.0,11,16
93,shear,1984.0,14,0
94,shear,1984.0,15,0
95,shear,1984.0,16,0
96,shear,1984.0,17,0
97,shear,1984.0,19,0
98,shear,1984.0,20,11
99,shear,1984.0,21,2
100,shear,1984.0,23,27
101,shear,1984.0,24,1
102,shear,1984.0,26,4
103,shear,1984.0,27,26
104,shear,1984.0,30,0
105,shear,1984.0,31,0
106,shear,1984.0,32,0
107,shear,1984.0,33,0
108,shear,1984.0,34,0
109,shear,1984.0,35,0
110,shear,1984.0,36,0
111,shear,1984.0,45,0
112,shear,1984.0,48,0
113,shear,1984.0,55,0
114,shear,1984.0,59,7
115,shear,1984.0,61,0
116,shear,1985.0,0,0
117,shear,1985.0,2,7
118,shear,1985.0,3,18
119,shear,1985.0,5,0
120,shear,1985.0,6,0
121,shear,1985.0,11,20
122,shear,1985.0,14,0
123,shear,1985.0,15,0
124,shear,1985.0,16,6
125,shear,1985.0,17,0
126,shear,1985.0,19,0
127,shear,1985.0,20,11
128,shear,1985.0,21,4
129,shear,1985.0,23,35
130,shear,1985.0,24,2
131,shear,1985.0,26,10
132,shear,1985.0,27,36
133,shear,1985.0,30,0
134,shear,1985.0,31,0
135,shear,1985.0,32,0
136,shear,1985.0,33,0
137,shear,1985.0,34,0
138,shear,1985.0,35,0
139,shear,1985.0,36,0
140,shear,1985.0,45,0
141,shear,1985.0,48,0
142,shear,1985.0,55,0
143,shear,1985.0,59,7
144,shear,1985.0,61,0
145,shear,1986.0,0,1
146,shear,1986.0,2,9
147,shear,1986.0,3,22
148,shear,1986.0,5,0
149,shear,1986.0,6,0
150,shear,1986.0,11,28
151,shear,1986.0,14,0
152,shear,1986.0,15,0
153,shear,1986.0,16,7
154,shear,1986.0,17,0
155,shear,1986.0,19,0
156,shear,1986.0,20,14
157,shear,1986.0,21,4
158,shear,1986.0,23,45
159,shear,1986.0,24,2
160,shear,1986.0,26,15
161,shear,1986.0,27,42
162,shear,1986.0,30,0
163,shear,1986.0,31,0
164,shear,1986.0,32,0
165,shear,1986.0,33,0
166,shear,1986.0,34,0
167,shear,1986.0,35,0
168,shear,1986.0,36,0
169,shear,1986.0,45,0
170,shear,1986.0,48,0
171,shear,1986.0,55,0
172,shear,1986.0,59,8
173,shear,1986.0,61,0
174,shear,1987.0,0,1
175,shear,1987.0,2,17
176,shear,1987.0,3,21
177,shear,1987.0,5,0
178,shear,1987.0,6,1
179,shear,1987.0,11,33
180,shear,1987.0,14,0
181,shear,1987.0,15,2
182,shear,1987.0,16,12
183,shear,1987.0,17,0
184,shear,1987.0,19,0
185,shear,1987.0,20,14
186,shear,1987.0,21,4
187,shear,1987.0,23,46
188,shear,1987.0,24,5
189,shear,1987.0,26,20
190,shear,1987.0,27,64
191,shear,1987.0,30,5
192,shear,1987.0,31,0
193,shear,1987.0,32,0
194,shear,1987.0,33,0
195,shear,1987.0,34,0
196,shear,1987.0,35,0
197,shear,1987.0,36,0
198,shear,1987.0,45,0
199,shear,1987.0,48,0
200,shear,1987.0,55,0
201,shear,1987.0,59,5
202,shear,1987.0,61,5
203,shear,1988.0,0,4
204,shear,1988.0,2,18
205,shear,1988.0,3,21
206,shear,1988.0,5,0
207,shear,1988.0,6,1
208,shear,1988.0,11,43
209,shear,1988.0,14,0
210,shear,1988.0,15,2
211,shear,1988.0,16,15
212,shear,1988.0,17,0
213,shear,1988.0,19,1
214,shear,1988.0,20,18
215,shear,1988.0,21,5
216,shear,1988.0,23,55
217,shear,1988.0,24,6
218,shear,1988.0,26,27
219,shear,1988.0,27,78
220,shear,1988.0,30,7
221,shear,1988.0,31,0
222,shear,1988.0,32,0
223,shear,1988.0,33,0
224,shear,1988.0,34,0
225,shear,1988.0,35,0
226,shear,1988.0,36,6
227,shear,1988.0,45,0
228,shear,1988.0,48,4
229,shear,1988.0,55,0
230,shear,1988.0,59,7
231,shear,1988.0,61,5
232,shear,1989.0,0,4
233,shear,1989.0,2,16
234,shear,1989.0,3,25
235,shear,1989.0,5,0
236,shear,1989.0,6,1
237,shear,1989.0,11,61
238,shear,1989.0,14,0
239,shear,1989.0,15,2
240,shear,1989.0,16,17
241,shear,1989.0,17,1
242,shear,1989.0,19,1
243,shear,1989.0,20,14
244,shear,1989.0,21,4
245,shear,1989.0,23,53
246,shear,1989.0,24,7
247,shear,1989.0,26,28
248,shear,1989.0,27,85
249,shear,1989.0,30,9
250,shear,1989.0,31,0
251,shear,1989.0,32,0
252,shear,1989.0,33,1
253,shear,1989.0,34,0
254,shear,1989.0,35,0
255,shear,1989.0,36,6
256,shear,1989.0,45,0
257,shear,1989.0,48,8
258,shear,1989.0,55,0
259,shear,1989.0,59,8
260,shear,1989.0,61,6
261,shear,1990.0,0,6
262,shear,1990.0,2,21
263,shear,1990.0,3,21
264,shear,1990.0,5,0
265,shear,1990.0,6,2
266,shear,1990.0,11,65
267,shear,1990.0,14,0
268,shear,1990.0,15,2
269,shear,1990.0,16,23
270,shear,1990.0,17,4
271,shear,1990.0,19,3
272,shear,1990.0,20,17
273,shear,1990.0,21,7
274,shear,1990.0,23,59
275,shear,1990.0,24,7
276,shear,1990.0,26,28
277,shear,1990.0,27,96
278,shear,1990.0,30,18
279,shear,1990.0,31,0
