,name,id,gender,modularity,degree,bridge,start,end,congregation,duration
995,Gregory Nobles,995,male,11,48,false,1981.0,2022.0,shear,41.0
1391,John L. Brooke,1391,male,26,29,false,1983.0,2022.0,shear,39.0
2420,Richard D. Brown,2420,male,2,47,false,1983.0,2022.0,shear,39.0
2290,Paul Gilje,2290,male,11,49,false,1983.0,2022.0,shear,39.0
940,Gary J. Kornblith,940,male,24,38,false,1983.0,2022.0,shear,39.0
515,Constance B. Schulz,515,female,27,46,female_bridge,1981.0,2019.0,shear,38.0
42,Alan Taylor,42,male,26,101,male_bridge,1985.0,2022.0,shear,37.0
2330,Peter S. Onuf,2330,male,23,64,false,1985.0,2022.0,shear,37.0
2721,Stephen Maizlish,2721,male,11,21,male_bridge,1981.0,2018.0,shear,37.0
644,David Jaffee,644,male,16,41,false,1985.0,2021.0,shear,36.0
1117,James Broussard,1117,male,11,36,false,1986.0,2022.0,shear,36.0
1986,Mary Kelley,1986,female,16,50,female_bridge,1986.0,2022.0,shear,36.0
227,Barbara Oberg,227,female,59,41,false,1986.0,2022.0,shear,36.0
2423,Richard E. Ellis,2423,male,23,28,false,1981.0,2016.0,shear,35.0
2379,Randall Miller,2379,male,11,16,false,1987.0,2022.0,shear,35.0
1397,John M. Belohlavek,1397,male,11,52,false,1987.0,2022.0,shear,35.0
2437,Richard R. John,2437,male,2,74,male_bridge,1987.0,2022.0,shear,35.0
1020,Harry Watson,1020,male,11,55,false,1986.0,2021.0,shear,35.0
1542,Julie Winch,1542,female,6,35,false,1987.0,2022.0,shear,35.0
2731,Steven C. Bullock,2731,male,30,22,false,1987.0,2022.0,shear,35.0
370,Carol Lasser,370,female,27,55,female_bridge,1987.0,2022.0,shear,35.0
136,Andrew W. Robertson,136,male,11,49,false,1987.0,2022.0,shear,35.0
1393,John L. Larson,1393,male,11,55,false,1988.0,2022.0,shear,34.0
475,Christopher Clark,475,male,11,58,false,1988.0,2022.0,shear,34.0
1876,Marc Egnal,1876,male,23,23,false,1988.0,2022.0,shear,34.0
2334,Peter Wallenstein,2334,male,23,25,male_bridge,1983.0,2017.0,shear,34.0
1395,John Lauritz Larson,1395,male,11,45,false,1986.0,2020.0,shear,34.0
978,Graham Hodges,978,male,19,50,false,1988.0,2022.0,shear,34.0
722,Donald J. Ratcliffe,722,male,11,43,false,1988.0,2022.0,shear,34.0
563,Daniel A. Cohen,563,male,27,27,false,1987.0,2021.0,shear,34.0
131,Andrew R. L. Cayton,131,male,59,30,false,1984.0,2018.0,shear,34.0
743,Douglas Egerton,743,male,24,61,male_bridge,1988.0,2022.0,shear,34.0
572,Daniel Feller,572,male,11,53,male_bridge,1988.0,2022.0,shear,34.0
2789,Tamara P. Thornton,2789,female,15,6,false,1987.0,2021.0,shear,34.0
925,Fredrika J. Teute,925,female,16,23,false,1985.0,2019.0,shear,34.0
2628,Scott C. Martin,2628,male,2,44,false,1988.0,2022.0,shear,34.0
2808,Terry Bilhartz,2808,male,20,12,male_bridge,1984.0,2018.0,shear,34.0
1977,Mary Cayton,1977,female,16,14,false,1985.0,2018.0,shear,33.0
2452,Robert A. Gross,2452,male,16,25,false,1988.0,2021.0,shear,33.0
541,Cynthia A. Kierner,541,female,48,23,false,1989.0,2022.0,shear,33.0
681,Deborah Van Broekhoven,681,female,27,45,false,1985.0,2018.0,shear,33.0
1893,Margaret Newell,1893,female,11,28,false,1989.0,2022.0,shear,33.0
2116,Michael Morrison,2116,male,11,91,false,1989.0,2022.0,shear,33.0
1093,Jack Larkin,1093,male,26,15,false,1983.0,2015.0,shear,32.0
2555,Ruth Alden Doan,2555,female,2,43,false,1987.0,2019.0,shear,32.0
1415,John R. Van Atta,1415,male,23,12,false,1984.0,2016.0,shear,32.0
321,Bruce Dorsey,321,male,27,31,false,1990.0,2022.0,shear,32.0
2734,Steven Deyle,2734,male,33,12,false,1989.0,2020.0,shear,31.0
2790,Tamara Plakins Thornton,2790,female,16,48,female_bridge,1991.0,2022.0,shear,31.0
1885,Marcus Rediker,1885,male,20,5,false,1990.0,2021.0,shear,31.0
2708,Stephen Aron,2708,male,15,34,male_bridge,1991.0,2022.0,shear,31.0
1414,John R. Mckivigan,1414,male,27,17,male_bridge,1983.0,2014.0,shear,31.0
752,Drew R. Mccoy,752,male,21,23,false,1988.0,2019.0,shear,31.0
2693,Stanley Harrold,2693,male,11,18,false,1987.0,2018.0,shear,31.0
2750,Susan Branson,2750,female,11,31,false,1991.0,2022.0,shear,31.0
1836,Lori Ginzberg,1836,female,27,15,false,1992.0,2022.0,shear,30.0
2752,Susan E. Klepp,2752,female,15,22,false,1992.0,2022.0,shear,30.0
2630,Scott Casper,2630,male,21,21,false,1992.0,2022.0,shear,30.0
571,Daniel Dupre,571,male,11,22,male_bridge,1992.0,2022.0,shear,30.0
167,Anne C. Rose,167,female,27,11,false,1984.0,2014.0,shear,30.0
638,David J. Bodenhamer,638,male,20,18,false,1984.0,2014.0,shear,30.0
2321,Peter Hoffer,2321,male,23,10,false,1987.0,2017.0,shear,30.0
2288,Paul Finkelman,2288,male,23,40,false,1988.0,2018.0,shear,30.0
1411,John Quist,1411,male,6,32,false,1992.0,2022.0,shear,30.0
1243,Jeffrey L. Pasley,1243,male,11,47,false,1992.0,2022.0,shear,30.0
2544,Rosemarie Zagarri,2544,female,16,99,false,1992.0,2022.0,shear,30.0
1183,Jan Lewis,1183,male,2,38,false,1987.0,2016.0,shear,29.0
2376,Ralph Ketcham,2376,male,21,9,false,1990.0,2019.0,shear,29.0
402,Catherine Kelly,402,female,16,82,false,1993.0,2022.0,shear,29.0
761,Edith Gelles,761,female,27,47,false,1987.0,2016.0,shear,29.0
592,Daniel Preston,592,male,24,19,false,1993.0,2022.0,shear,29.0
2171,Nancy Hewitt,2171,female,14,20,female_bridge,1993.0,2022.0,shear,29.0
1466,Jonathan Prude,1466,male,24,17,false,1987.0,2016.0,shear,29.0
611,David B. Mattern,611,male,11,7,false,1989.0,2018.0,shear,29.0
2075,Michael Birkner,2075,male,11,31,false,1981.0,2010.0,shear,29.0
2172,Nancy Isenberg,2172,female,11,55,false,1993.0,2022.0,shear,29.0
1040,Herbert Ershkowitz,1040,male,27,20,false,1981.0,2010.0,shear,29.0
1048,Holly Brewer,1048,female,11,21,false,1993.0,2022.0,shear,29.0
1987,Mary Kupiec Cayton,1987,female,16,22,false,1993.0,2022.0,shear,29.0
670,David Waldstreicher,670,male,21,49,false,1993.0,2022.0,shear,29.0
411,Cathy Matson,411,female,0,39,false,1992.0,2020.0,shear,28.0
2225,Nicole Etcheson,2225,female,11,26,false,1991.0,2019.0,shear,28.0
550,Dallett Hemphill,550,male,16,31,false,1992.0,2020.0,shear,28.0
2957,William G. Shade,2957,male,11,32,false,1990.0,2018.0,shear,28.0
2638,Scott Sandage,2638,male,21,21,false,1994.0,2022.0,shear,28.0
1075,J. Chris Arndt,1075,male,11,24,false,1988.0,2016.0,shear,28.0
1120,James C. Bradford,1120,male,27,20,false,1981.0,2009.0,shear,28.0
119,Andrew Cayton,119,male,11,24,false,1991.0,2019.0,shear,28.0
1347,John Brooke,1347,male,0,24,false,1994.0,2022.0,shear,28.0
2082,Michael D. Pierson,2082,male,27,27,false,1994.0,2022.0,shear,28.0
1096,Jack Rakove,1096,male,23,29,false,1990.0,2018.0,shear,28.0
598,Daniel Walker Howe,598,male,27,25,male_bridge,1986.0,2014.0,shear,28.0
398,Catherine Clinton,398,female,27,15,false,1986.0,2014.0,shear,28.0
782,Elaine Forman Crane,782,female,0,11,false,1990.0,2018.0,shear,28.0
1322,Joanne Freeman,1322,female,11,59,false,1994.0,2022.0,shear,28.0
2396,Reeve Huston,2396,male,11,34,false,1995.0,2022.0,shear,27.0
2480,Robert J. Allison,2480,male,11,7,false,1992.0,2019.0,shear,27.0
1409,John P. Riley,1409,male,21,7,false,1994.0,2021.0,shear,27.0
1225,Jeanne T. Heidler,1225,female,26,8,false,1989.0,2016.0,shear,27.0
583,Daniel K. Richter,583,male,15,51,male_bridge,1995.0,2022.0,shear,27.0
584,Daniel Kilbride,584,male,19,43,false,1995.0,2022.0,shear,27.0
659,David S. Heidler,659,male,11,13,false,1989.0,2016.0,shear,27.0
2434,Richard Newman,2434,male,23,51,male_bridge,1995.0,2022.0,shear,27.0
1970,Mary Beth Sievens,1970,female,0,22,false,1995.0,2022.0,shear,27.0
1665,Kenneth R. Stevens,1665,male,11,17,false,1987.0,2014.0,shear,27.0
1235,Jeffrey A. Mullins,1235,male,5,22,false,1995.0,2022.0,shear,27.0
2771,Susan Stabile,2771,female,16,12,false,1994.0,2021.0,shear,27.0
1484,Joseph G. Mannard,1484,male,27,18,false,1983.0,2010.0,shear,27.0
419,Charlene Boyer Lewis,419,female,48,48,false,1995.0,2022.0,shear,27.0
622,David Curtis Skaggs,622,male,27,13,false,1990.0,2017.0,shear,27.0
1128,James E. Lewis,1128,male,11,49,false,1994.0,2021.0,shear,27.0
2558,Ruth Herndon,2558,female,48,13,false,1988.0,2015.0,shear,27.0
2815,Thomas A. Chambers,2815,male,59,31,false,1995.0,2022.0,shear,27.0
2381,Randolph Roth,2381,male,2,32,false,1987.0,2014.0,shear,27.0
535,Craig Thompson Friend,535,male,21,48,false,1995.0,2022.0,shear,27.0
818,Elizabeth R. Varon,818,female,11,22,false,1995.0,2021.0,shear,26.0
1690,Kirsten E. Wood,1690,female,11,37,female_bridge,1996.0,2022.0,shear,26.0
306,Bridgett Williams-Searle,306,female,16,7,false,1996.0,2022.0,shear,26.0
1694,Konstantin Dierks,1694,male,11,18,false,1996.0,2022.0,shear,26.0
2440,Richard Stott,2440,male,45,13,false,1992.0,2018.0,shear,26.0
1847,Lucia Mcmahon,1847,female,16,45,false,1996.0,2022.0,shear,26.0
37,Alan Gallay,37,male,24,15,false,1996.0,2022.0,shear,26.0
1470,Jonathan Wells,1470,male,27,18,false,1996.0,2022.0,shear,26.0
426,Charles F. Hobson,426,male,23,6,false,1987.0,2013.0,shear,26.0
2128,Michael Zuckerman,2128,male,32,25,false,1993.0,2019.0,shear,26.0
2655,Seth Cotlar,2655,male,11,52,false,1996.0,2022.0,shear,26.0
100,Amy Greenberg,100,female,11,82,false,1996.0,2022.0,shear,26.0
1724,Larry E. Tise,1724,male,6,10,false,1996.0,2022.0,shear,26.0
1759,Lawrence Peskin,1759,male,24,18,false,1996.0,2022.0,shear,26.0
823,Ellen Eslinger,823,female,11,14,false,1988.0,2014.0,shear,26.0
1451,Jonathan D. Sassi,1451,male,27,43,false,1996.0,2022.0,shear,26.0
1932,Mark Hanley,1932,male,27,27,false,1988.0,2014.0,shear,26.0
416,Chandos Brown,416,male,59,14,male_bridge,1987.0,2013.0,shear,26.0
46,Albrecht Koschnik,46,male,11,46,false,1995.0,2021.0,shear,26.0
1216,Jay Gitlin,1216,male,31,21,false,1997.0,2022.0,shear,25.0
1441,Jon Kukla,1441,male,24,6,false,1985.0,2010.0,shear,25.0
1454,Jonathan Earle,1454,male,11,26,false,1997.0,2022.0,shear,25.0
1203,Jason Duncan,1203,male,27,9,false,1997.0,2022.0,shear,25.0
2065,Mia Bay,2065,female,21,11,false,1997.0,2022.0,shear,25.0
233,Barry Levy,233,male,2,17,false,1996.0,2021.0,shear,25.0
180,Annette Gordon-Reed,180,female,21,34,false,1997.0,2022.0,shear,25.0
1095,Jack P. Greene,1095,male,61,14,false,1997.0,2022.0,shear,25.0
1300,Jewel Spangler,1300,female,16,23,false,1997.0,2022.0,shear,25.0
1660,Kenneth J. Winkle,1660,male,27,7,false,1989.0,2014.0,shear,25.0
2869,Todd Estes,2869,male,0,36,false,1997.0,2022.0,shear,25.0
2969,William Pencak,2969,male,21,52,male_bridge,1993.0,2018.0,shear,25.0
705,Diane Miller Sommerville,705,female,2,22,false,1997.0,2022.0,shear,25.0
725,Donald R. Hickey,725,male,23,22,false,1983.0,2008.0,shear,25.0
2763,Susan Juster,2763,female,16,8,false,1994.0,2019.0,shear,25.0
2580,Sandra F. Vanburkleo,2580,female,23,21,female_bridge,1985.0,2010.0,shear,25.0
2658,Seth Rockman,2658,male,48,36,male_bridge,1996.0,2020.0,shear,24.0
1602,Kathleen Brown,1602,female,21,12,false,1997.0,2021.0,shear,24.0
2177,Nancy Shoemaker,2177,female,15,13,false,1998.0,2022.0,shear,24.0
2689,Stacey Robertson,2689,female,11,49,false,1998.0,2022.0,shear,24.0
2459,Robert Brugger,2459,male,6,5,false,1993.0,2017.0,shear,24.0
2346,Phillip Hamilton,2346,male,24,16,false,1993.0,2017.0,shear,24.0
1818,Lisa Norling,1818,female,27,19,false,1987.0,2011.0,shear,24.0
1736,Laura Mccall,1736,female,2,25,false,1990.0,2014.0,shear,24.0
2021,Matthew Rainbow Hale,2021,male,11,26,false,1998.0,2022.0,shear,24.0
2615,Sarah Purcell,2615,female,0,39,false,1998.0,2022.0,shear,24.0
1604,Kathleen Duval,1604,female,16,30,false,1998.0,2022.0,shear,24.0
2894,Vernon Burton,2894,male,27,7,false,1990.0,2014.0,shear,24.0
1360,John Demos,1360,male,15,13,false,1997.0,2021.0,shear,24.0
600,Daniel Williams,600,male,27,7,male_bridge,1988.0,2012.0,shear,24.0
1510,Joshua Rothman,1510,male,11,20,false,1998.0,2022.0,shear,24.0
1755,Lawrence Foster,1755,male,16,10,false,1990.0,2014.0,shear,24.0
275,Brenda Stevenson,275,female,21,9,false,1997.0,2021.0,shear,24.0
1039,Herbert A. Johnson,1039,male,21,8,false,1994.0,2018.0,shear,24.0
