,year,density,clustering,gender_assort,degree_assort,male_bridges,female_bridges,male,female,bridges,nodes,network_pct
0,1981,0.10365853658536585,1.0,0.06028675073415091,1.0000000000000366,0,0,30,10,0.0,41,0.3333333333333333
1,1982,0.10365853658536585,1.0,0.06028675073415091,1.0000000000000366,0,0,30,10,0.0,41,0.3333333333333333
2,1983,0.05860805860805861,0.968,0.04153590548273957,0.16852063874661036,5,0,59,18,0.0641025641025641,78,0.3050847457627119
3,1984,0.046209761163032194,0.945,-0.02277925507187069,0.3798730682539171,5,3,83,23,0.07407407407407407,108,0.27710843373493976
4,1985,0.030024813895781637,0.924,-0.03906381545714787,0.4289509154110003,8,3,121,33,0.07051282051282051,156,0.2727272727272727
5,1986,0.023412410649539004,0.935,0.0316079032983308,0.31190028853250984,14,4,149,46,0.09137055837563451,197,0.3087248322147651
6,1987,0.017554087317009977,0.915,0.05808817881557699,0.3301553672316375,19,3,188,60,0.08835341365461848,249,0.3191489361702128
7,1988,0.014629049111807733,0.883,0.09132528626348624,0.19561617928881114,23,6,243,75,0.09090909090909091,319,0.30864197530864196
8,1989,0.013058656917959358,0.854,0.08150143575726608,0.1572195391017562,28,9,264,83,0.10601719197707736,349,0.3143939393939394
9,1990,0.011347734269648628,0.858,0.1206423822217711,0.07259637441828802,42,12,302,94,0.13602015113350127,397,0.31125827814569534
10,1991,0.011086654309545876,0.86,0.12036241226185344,0.17664154308566918,35,12,316,98,0.11298076923076923,416,0.310126582278481
11,1992,0.010898542434858993,0.839,0.12344432778192288,0.2978893484725512,37,14,334,107,0.11512415349887133,443,0.3203592814371258
12,1993,0.010310730484266275,0.846,0.1322175732217573,0.26518328088757626,41,13,335,124,0.11688311688311688,462,0.3701492537313433
13,1994,0.01037839050798014,0.851,0.13884101062833695,0.35318423195495424,34,13,333,127,0.10151187904967603,463,0.3813813813813814
14,1995,0.010183942527828215,0.829,0.15809497297422712,0.332934082282624,34,16,340,136,0.10460251046025104,478,0.4
15,1996,0.01011661877972813,0.848,0.14600914391973255,0.29990133521684503,25,15,359,138,0.08016032064128256,499,0.38440111420612816
16,1997,0.009733583146734908,0.846,0.15499118024585753,0.21167812286470278,35,14,387,163,0.08844765342960288,554,0.42118863049095606
17,1998,0.00883078955602684,0.86,0.1422015609495716,0.17358508020984334,40,15,406,177,0.0935374149659864,588,0.43596059113300495
18,1999,0.008744905490837906,0.844,0.13138978443515875,0.1467470076648961,39,12,422,185,0.08333333333333333,612,0.43838862559241704
19,2000,0.008603124292506226,0.823,0.10863271223253353,0.10678176158073877,38,12,442,185,0.07923930269413629,631,0.41855203619909503
20,2001,0.008295397066262013,0.814,0.13305376203784014,0.12608545391231238,37,15,449,207,0.07878787878787878,660,0.4610244988864143
21,2002,0.008272658862459571,0.782,0.12825013930048973,0.12978394650641403,41,22,422,208,0.09936908517350158,634,0.4928909952606635
22,2003,0.00797423550232539,0.79,0.11155142112967605,0.10927523074595237,33,23,414,207,0.08974358974358974,624,0.5
23,2004,0.00799454917101976,0.795,0.11136839986131457,0.11564825821036005,37,20,412,214,0.09047619047619047,630,0.5194174757281553
24,2005,0.007844208748354405,0.812,0.11582442050193746,0.133931403460137,43,18,406,226,0.09606299212598425,635,0.5566502463054187
25,2006,0.007969363413668796,0.817,0.11997025717634605,0.14265586852945314,40,19,375,232,0.09640522875816994,612,0.6186666666666667
26,2007,0.007661442955560603,0.791,0.07117975804126898,0.09394448125991099,34,15,388,237,0.07777777777777778,630,0.6108247422680413
27,2008,0.006974858069748581,0.797,0.07277154341063458,0.10460687982261332,49,11,407,273,0.08759124087591241,685,0.6707616707616708
28,2009,0.006353203374867943,0.8,0.0825981919534245,0.13840069445740227,45,20,445,295,0.08736559139784947,744,0.6629213483146067
29,2010,0.005735971403993131,0.793,0.0967909053055609,0.2607824233236568,50,32,471,329,0.10211706102117062,803,0.6985138004246284
30,2011,0.0062407571724341915,0.854,0.10324022605151005,0.2963995042431266,56,31,428,305,0.11820652173913043,736,0.7126168224299065
31,2012,0.005777886481524422,0.827,0.10517512790240074,0.2881838150858471,61,31,464,329,0.11586901763224182,794,0.709051724137931
32,2013,0.005608549365842248,0.837,0.11268242958149143,0.20450787787184152,54,32,514,342,0.10023310023310024,858,0.6653696498054474
33,2014,0.00570123518790879,0.852,0.10847902426071009,0.15912962039113854,49,30,543,370,0.08633879781420765,915,0.6813996316758748
34,2015,0.005900369772660085,0.816,0.12389167500439428,0.14443666275249395,42,31,522,384,0.08030803080308031,909,0.735632183908046
35,2016,0.005822690529913032,0.81,0.08634516287443328,0.15474937532577535,35,35,545,407,0.07322175732217573,956,0.7467889908256881
36,2017,0.0059487472067703134,0.8,0.05898106647937867,0.13623739049795613,34,32,585,437,0.06432748538011696,1026,0.747008547008547
37,2018,0.00595364774936377,0.797,0.036949530901977695,0.13847257109980726,26,33,598,455,0.055765595463137994,1058,0.7608695652173914
38,2019,0.005994610350327229,0.803,0.02107991582787624,0.13067526529697177,18,27,561,479,0.0430622009569378,1045,0.8538324420677362
39,2020,0.006447113299028619,0.813,0.011738805291915181,0.14453914322366102,24,28,489,420,0.05689277899343545,914,0.8588957055214724
40,2021,0.006298042260551273,0.837,-0.024197097322151563,0.15211623202807892,31,32,496,446,0.06631578947368422,950,0.8991935483870968
41,2022,0.0065229322596156184,0.825,-0.022929162750725145,0.15917372736833743,26,27,462,435,0.05837004405286344,908,0.9415584415584416
42,2023,0.007059507921842384,0.851,-0.020842226558801524,0.19766934148975385,33,30,378,377,0.08235294117647059,765,0.9973544973544973
