year,gender,count
1981,female,3
1982,female,3
1983,female,7
1984,female,8
1985,female,4
1986,female,3
1987,female,1
1988,female,3
1989,female,1
1990,female,1
1991,female,3
1992,female,2
1993,female,2
1994,female,4
1995,female,4
1996,female,7
1997,female,8
1998,female,7
1999,female,4
2000,female,4
2001,female,5
2002,female,5
2003,female,6
2004,female,3
2005,female,5
2006,female,8
2007,female,7
2008,female,9
2009,female,5
2010,female,9
2011,female,6
2012,female,8
2013,female,4
2014,female,6
2015,female,11
2016,female,12
2017,female,15
2018,female,14
2019,female,16
2020,female,13
2021,female,13
2022,female,15
