degree,count
0,3
1,12
2,70
3,615
4,811
5,275
6,147
7,162
8,161
9,85
10,84
11,73
12,61
13,46
14,42
15,28
16,17
17,23
18,36
19,23
20,18
21,17
22,13
23,13
24,12
25,10
26,9
27,9
28,9
29,10
30,4
31,9
32,7
33,0
34,5
35,1
36,8
37,1
38,5
39,3
40,3
41,2
42,2
43,4
44,1
45,3
46,4
47,3
48,4
49,6
50,2
51,2
52,3
53,2
54,0
55,4
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,2
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
